listing_id,product,price,condition,seller,time_posted,likes,listing_url,source_url,category
1423041788,Cl28 32gb kit ddr5 Cras V Rgb Desktop Ram,,,alyaroshidere,,27,https://www.carousell.com.my/p/cl28-32gb-kit-ddr5-cras-v-rgb-desktop-ram-1423041788/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1437400529,PSU 500W,,,syahfareez193,,1,https://www.carousell.com.my/p/psu-500w-1437400529/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1414476699,Brand New | AMD Ryzen 5 5500/5600/5700X/7500F/9700X Processor | 3 Years Warranty,,,jensonchan91,,143,https://www.carousell.com.my/p/brand-new-amd-ryzen-5-5500-5600-5700x-7500f-9700x-processor-3-years-warranty-1414476699/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1435037450,Zotac gtx 1050 2gb,,,shxstalk,,7,https://www.carousell.com.my/p/zotac-gtx-1050-2gb-1435037450/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1436654272,NVIDIA GeForce RTX 4080,,,grandbear_b7e6a9,,4,https://www.carousell.com.my/p/nvidia-geforce-rtx-4080-1436654272/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1437400327,Gigabyte B450I AORUS PRO WIFI Motherboard,,,kifkifkifkif,,1,https://www.carousell.com.my/p/gigabyte-b450i-aorus-pro-wifi-motherboard-1437400327/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1437115328,Sapphire Pulse AMD Radeon RX 6600 XT,,,chinsv.263,,9,https://www.carousell.com.my/p/sapphire-pulse-amd-radeon-rx-6600-xt-1437115328/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1437405050,North Bayou F195A Dual Monitor Arm (USED but in Very Good Condition),,,kollectors,,,https://www.carousell.com.my/p/north-bayou-f195a-dual-monitor-arm-used-but-in-very-good-condition-1437405050/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1433311482,RX 580 8GB SAPPHIRE NITRO GRAPHIC CARD GPU,,,muhamaddausilham,,37,https://www.carousell.com.my/p/rx-580-8gb-sapphire-nitro-graphic-card-gpu-1433311482/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
1436636321,Palit RTX 4060 GeForce,,,salehudinz,,9,https://www.carousell.com.my/p/palit-rtx-4060-geforce-1436636321/,https://www.carousell.com.my/categories/computers-tech-602/parts-accessories-604/computer-parts-5113/?tab=marketplace,Computers & Tech > Parts & Accessories > Computer Parts
